company,employment_type,schedule_type,min_salary,max_salary,currency,city,min_experience,max_experience,clean_key_skills,clean_title
4cv recruitment services,full time, remote work,4000.0,6000.0,eur,not specified,3,6.0,"['python', ' sql', ' aws', ' английский — b2 — средне-продвинуть']",data engineer
рв,full time,not specified,180000.0,250000.0,rub,not specified,1,3.0,"['sql', ' python', ' анализ дать', ' работа с базами дать', ' аналитическое мышление', ' аналитика', ' data analysis', ' базы дать', ' vba', ' статистический анализ', ' postgresql', ' databases']",data engineer
anabar,full time, remote work,200000.0,300000.0,rub,not specified,3,6.0,"['python', ' sql', ' лидерство', ' saas', ' etl', ' умение анализировать', ' умение организовывать работа']",data analyst senior
некст левел,full time, remote work,60000.0,240000.0,rub,нижний новгород,1,3.0,"['python', ' sql', ' базы дать', ' numpy', ' data analysis', ' удаленная работа', ' pandas', ' google analytics', ' яндекс.метрик']",data analyst / аналитик дать
#izum,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['экономический анализ', ' аналитика продажа', ' бюджетирование', ' ценообразование', ' аналитика', ' roistat', ' экономическое моделирование']",аналитик данных / data analyst
remokate,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['data analysis', ' sql', ' python', ' анализ дать', ' ms excel', ' статистика', ' etl', ' реклама', ' яндекс.директ', ' яндекс.метрик']",аналитик-разработчик / data analyst в команду агентской аналитики в яндекс
банк центркредит,full time,not specified,150000.0,150000.0,rub,not specified,1,3.0,"['sql', ' python', ' анализ дать', ' аналитическое мышление', ' ms powerpoint']",data analyst\ аналитик данных бизнес аналитика
юрспектр,full time,not specified,150000.0,150000.0,rub,минск,1,3.0,"['работа с большим объемом информация', ' деловая переписка', ' аналитическое мышление', ' python', ' sql', ' tableau', ' ms excel']",аналитик данных / data analytics
hr me,full time,not specified,100000.0,150000.0,rub,not specified,1,3.0,"['анализ дать', ' excel', ' data analysis', ' google таблица', ' аналитическое мышление', ' работа с большим объемом информация']",data analyst betting
lesta games,full time,not specified,150000.0,150000.0,rub,санкт-петербург,1,3.0,"['sql', ' oracle pl/sql', ' business intelligence', ' анализ данных', ' power bi', ' python', ' tableau', ' finebi']",data analyst
газпромбанк,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['bi', ' sql', ' etl', ' data analysis']",data analyst
вайзор геймз,full time, flexible schedule,60000.0,280000.0,rub,минск,1,3.0,"['sql', ' powerbi', ' tableau', ' python', ' r', ' анализ данных', ' data analysis', ' ms excel', ' визуализация']",data analyst
фаворт фэшн груп,full time,not specified,50000.0,100000.0,rub,москва,1,3.0,"['аналитическое мышление', ' анализ дать', ' анализ бизнес показатель', ' ms sql', ' математическая статистика', ' аналитические исследование', ' анализ финансовых показатель', ' математический анализ', ' сбор и анализ информация', ' системное мышление', ' data analysis', ' data scientist', ' английский — b2 — средне-продвинуть']",аналитик data scientist
ок софт,full time, flexible schedule,60000.0,280000.0,rub,москва,1,3.0,"['sql', ' tableau', ' data analysis', ' аналитическое мышление', ' power bi']",data analyst
ц ай-теко,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['sql', ' python', ' анализ данных', ' apache airflow', ' uml', ' rest', ' json api', ' data analysis', ' ооп']",data analyst удаленно
sape,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['grafana', ' power bi', ' дашборд', ' spark', ' python', ' sql', ' аналитическое мышление', ' проведение тестирование', ' a/b тест', ' теория вероятность', ' математическая статистика']",аналитик данных/data analyst
remokate,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['анализ дать', ' data analysis', ' sql', ' python', ' реклама', ' big data', ' git']",аналитик / data analyst в биллинг в яндекс
литрес,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['python', ' sql']",data аналитик
кредиска мкк,full time,not specified,150000.0,150000.0,rub,нижний новгород,1,3.0,"['python', ' sql', ' data analysis', ' postgresql', ' machine learning', ' математическая статистика', ' r', ' stata', ' statistica', ' spss']",data analyst / аналитик дать
платформа сейлз чейн,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['python', ' sql', ' data analysis']",data analyst
lesta games,full time,not specified,150000.0,150000.0,rub,минск,1,3.0,"['python', ' data analysis', ' sql', ' business intelligence systems', ' математическая статистика', ' анализ данных', ' аналитика']",data analyst
сбермегамаркет,full time, remote work,100000.0,240000.0,rub,not specified,1,3.0,"['sql', ' olap', ' power bi', ' аналитика']",аналитик данных / data analyst
sapiens solutions,internship full time,not specified,85000.0,240000.0,rub,москва,0,0.0,"['sql', ' greenplum', ' big data', ' dwh', ' субд', ' базы дать', ' планирование карьер', ' английский язык', ' обучение и развитие', ' анализ дать', ' дистанционное обучение']",data engineer стажер
сравни,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['python', ' sql', ' ms excel', ' power bi']",data analyst
rubbles,full time, flexible schedule,150000.0,300000.0,rub,москва,1,3.0,"['python', ' pandas', ' machine learning', ' numpy', ' аналитические исследования', ' задачи оптимизации', ' sklearn']",data scientist r&d
nomad insurance,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['sql', ' power bi', ' ms sql', ' ответственное хранение', ' базы дать', ' работа с базами дать', ' data mining: statistica', ' ms power bi', ' oracle crm']",data-инженер
микрофинансовая организация kmf(кмф),full time,not specified,150000.0,150000.0,rub,алматы,1,3.0,"['сбор и анализ информация', ' написание технических задание', ' sql', ' база данных: oracle', ' oracle pl/sql', ' colvir', ' бизнес-анализ']",data аналитик
лайфтех,full time,not specified,150000.0,150000.0,rub,not specified,1,3.0,"['sql', ' python']",data scientist
трт,full time, remote work,2500.0,6000.0,rub,not specified,6,100.0,"['data analysis', ' python', ' analytical skills', ' sql', ' statistic', ' google cloud', ' aws', ' elasticsearch', ' английский — b2 — средне-продвинутый']",data analyst
predicto,full time,not specified,300000.0,400000.0,rub,not specified,3,6.0,"['sql', ' spark', ' python']",data engineer lead
bestdoctor,full time,not specified,130000.0,150000.0,rub,москва,1,3.0,"['sql', ' python', ' power bi', ' tableau', ' аналитическое мышление']",data analyst/аналитик отчётности
e2e4 магазин компьютерной и цифровой техники,full time,not specified,150000.0,150000.0,rub,новосибирск,1,3.0,"['atlassian jira', ' анализ дать', ' базы дать', ' atlassian confluence', ' аналитическое мышление', ' статистический анализ', ' субд', ' power bi', ' аналитика', ' data analysis']",data-аналитик
гку «центр цифровой трансформации рт»,full time,not specified,175000.0,300000.0,rub,казань,3,6.0,"['sql', ' python', ' hadoop', ' spark', ' big data']",data analyst
indrive,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['python', ' sql', ' анализ финансовых показатель', ' data analysis', ' английский — b1 — средний']",financial data analyst
«росбанк»,full time, remote work,100000.0,240000.0,rub,not specified,1,3.0,"['sql', ' powerbi', ' базы дать', ' работа с базами дать', ' визуализация дать', ' навыки составления отчетность']",data analyst
green code,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['sql', ' анализ дать', ' аналитика']",product/ data analyst
dns технологии,full time,not specified,70000.0,240000.0,rub,владивосток,0,0.0,"['panda', ' postgresql', ' python', ' sql', ' clickhouse', ' dash', ' статистика']",data analyst junior
missing information,project work / one-time task, full day,100000.0,240000.0,rub,not specified,1,3.0,"['data analysis', ' ms power bi', ' sql', ' визуализация данных', ' powerpoint', ' python', ' matlab', ' ms visual basic', ' подготовка презентаций', ' логика']",аналитик данных / data analyst
спутник,full time,not specified,50000.0,100000.0,rub,not specified,1,3.0,"['python', ' a/b тесты', ' jupyter notebook', ' sql', ' panda', ' nosql', ' amplitude', ' powerbi', ' appmetrica', ' superset']",data analyst
servicepipe,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['sql', ' linux', ' git', ' http']",data analyst moscow
сбер для экспертов,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['python', ' sql', ' аналитическое мышление', ' работа с большим объемом информация']",data analyst anti-fraud
колхоз,full time,not specified,150000.0,150000.0,rub,санкт-петербург,1,3.0,"['python', ' sql', ' анализ дать', ' аналитические исследование', ' аналитическое мышление', ' язык программирования r', ' работа с большим объемом информация', ' power bi', ' анализ бизнес показатель']",data analytics аналитик дать
remokate,full time, remote work,160000.0,200000.0,rub,not specified,3,6.0,"['sql', ' python', ' базы данных', ' big data', ' ml']",middle+ data scientist
"dodo brands (dodo pizza, drinkit, doner 42)",full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['python', ' sql', ' tableau', ' power bi', ' английский язык']",data analyst
lucy in the sky inc,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['анализ дать', ' data analysis', ' sql', ' python', ' ms excel', ' системное мышление', ' аналитическое мышление', ' аналитика', ' маркетинг', ' английский — b1 — средний']",marketing analyst / data analyst in marketing / web analyst
сбер. data science,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['python', ' hadoop', ' sql']",data analyst
crazy panda,full time,not specified,150000.0,150000.0,rub,not specified,1,3.0,"['python', ' sql', ' panda', ' a/b тесты']",data analyst mobile games
«росбанк»,full time, remote work,100000.0,240000.0,rub,not specified,1,3.0,"['sql', ' python']",портфельный риск-аналитик/data analyst
нур телеком,full time,not specified,150000.0,150000.0,rub,not specified,1,3.0,"['ms excel', ' python', ' базы дать', ' аналитика', ' математический склад ум', ' английский — b1 — средний']",data-analyst
самокат (ооо умный ритейл),full time, remote work,100000.0,240000.0,rub,not specified,1,3.0,"['sql', ' tableau', ' bi', ' работа с большим объемом информация', ' ms excel']",аналитик данных / data analyst
мир хобби,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['python', ' аналитик', ' power bi', ' bi - аналитика']",аналитик/middle data analyst
"комита, ао (санкт-петербург)",full time,not specified,150000.0,150000.0,rub,вологда,1,3.0,"['sql', ' разработка технических задание', ' базы дать', ' svn', ' mvp', ' менеджер проект', ' постановка задач разработчик', ' аналитическое мышление', ' отчётность', ' критическое мышление', ' xml', ' ms sql', ' atlassian jira', ' нормативно-техническая документация', ' atlassian confluence']",аналитик данных/data analyst
апптимизм,full time,not specified,150000.0,150000.0,rub,not specified,1,3.0,"['python', ' sql', ' postgresql', ' английский язык', ' анализ дать', ' dwh', ' etl', ' bi', ' ms sql']",data analyst
займиго мфк,full time,not specified,60000.0,240000.0,rub,нижний новгород,0,0.0,"['python', ' статистический анализ', ' прогнозирование', ' математическая статистика']",junior data scientist аналитик
банк хоум кредит,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['анализ дать', ' data analysis', ' sql', ' python', ' анализ риск', ' big data', ' работа с базами дать', ' оценка риск', ' bi', ' catbost', ' pca', ' k-means']",middle data analyst retail risk
энко групп,full time,not specified,175000.0,300000.0,rub,тюмень,3,6.0,"['работа с большим объемом информация', ' python', ' визуализация дать']",data analyst / аналитик данных / bi-аналитик
cyberphysics,full time,not specified,160000.0,180000.0,rub,москва,1,3.0,"['machine learning', ' python', ' tensorflow', ' panda', ' ооп', ' numpy']",data scientist
офисная вакансия yum! brands,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['python', ' sql', ' системный анализ', ' atlassian jira', ' управление проект', ' data analysis']",лид дата аналитики / data analyst lead
мвс груп,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['статистический анализ', ' аналитическое мышление', ' sql', ' математическая статистика', ' анализ дать', ' английский — a2 — элементарный']",data analyst
"вск, сао",full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['data science', ' machine learning', ' ml']",data scientist/ml
гбуз «научно-практический клинический центр диагностики и телемедицинских технологий дзм»,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['английский язык', ' научные исследование', ' базы дать', ' python', ' анализ дать', ' аналитические исследование', ' аналитическое мышление', ' английский — b1 — средний']",junior data engineer/ bi аналитик дашборды
«росбанк»,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['sql', ' базы данных', ' power bi', ' postgresql', ' oracle pl/sql', ' transact-sql', ' python', ' data analysis']",data analyst/ data engineer удаленно
appquantum,full time,not specified,200000.0,300000.0,rub,not specified,3,6.0,"['python', ' sql', ' git', ' linux', ' roi', ' дико плюсить', ' google analytics', ' analyst', ' gamedev', ' attribution', ' adjust', ' appsflyer', ' ml', ' clickhouse', ' tableau']",senior data analyst / старший маркетинговый аналитик gamedev
employcity,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['clickhouse', ' sql', ' nosql', ' kafka']",data analyst
платформа офд,full time, flexible schedule,60000.0,280000.0,rub,not specified,1,3.0,"['python', ' java', ' scala', ' sql', ' big data', ' hadoop']",data engineer big data
билайн: контактные центры,full time,not specified,150000.0,150000.0,rub,not specified,1,3.0,"['sql', ' postgresql', ' hadoop', ' spark', ' python', ' qliksense', ' английский — b1 — средний']",data analyst
okko,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['sql', ' python', ' a/b тесты']","senior data analyst ""рекомендации"""
«росбанк»,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['power bi', ' визуализация данных', ' sql', ' tableau', ' qlick view', ' hadoop', ' hive', ' python', ' powerbi']",bi analyst / data analyst
«росбанк»,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['sql', ' python', ' hadoop', ' spark', ' анализ данных', ' data analysis', ' data science', ' machine learning', ' ml', ' numpy', ' panda']",data analyst/ data scientist  удаленно
"билайн: т, data, digital",full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['power bi', ' sql', ' анализ дать', ' ms powerpoint', ' python', ' базы дать', ' алгоритм', ' прогнозирование', ' аналитическое мышление', ' аналитика', ' qlik sense']",data-аналитик
мфк вэббанкр,full time,not specified,120000.0,300000.0,rub,москва,1,3.0,"['python', ' sql', ' sas', ' анализ дать', ' математическая статистика']",data scientist / аналитик риск-моделей
iqnergy,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,['анализ дать'],data analyst / аналитик дать
улыбка радуги.it,full time,not specified,150000.0,150000.0,rub,санкт-петербург,1,3.0,"['sql', ' ms sql', ' oracle', ' r', ' python', ' olap', ' анализ дать', ' анализ временных ряд', ' статистический анализ', ' кластерный анализ']",data analyst
"мегафон, it",full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['python', ' sql', ' hadoop', ' a/b тесты']",data analyst middle
сбер. it,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['python', ' nlp', ' data analysis', ' data science', ' алгоритмы']",data analyst middle/senior
kamaz digital,full time,not specified,150000.0,150000.0,rub,санкт-петербург,1,3.0,"['clickhouse', ' sql', ' python', ' статистика']",data scientist / аналитик дать
ozon нформационные технологии,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['python', ' it', ' платформа']","sre data analyst, группа проектного управление"
ано ацг,full time,not specified,150000.0,150000.0,rub,нижний новгород,1,3.0,"['python', ' postgresql', ' sql', ' аналитика', ' базы дать', ' аналитическое мышление', ' yandex.datalens']",analytics and data engineer
kaz minerals management,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['python', ' data mining', ' sql', ' machine learning', ' data science', ' numpy']",data scientist
okko,full time,not specified,175000.0,300000.0,rub,санкт-петербург,3,6.0,"['sql', ' python', ' a/b тесты']","senior data analyst ""рекомендации"""
indrive,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['bpmn', ' sql', ' uml', ' бизнес-анализ', ' английский язык', ' python', ' ad hoc analysis', ' data analysis', ' big data', ' panda', ' biqquery', ' apache hive', ' tableau', ' esg', ' sustainability', ' agile project management']",esg/sustainability data analyst senior
my.games,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['python', ' ml', ' sql']",data science/data analyst
грнман,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['python', ' big data', ' sql', ' business intelligence systems', ' математическое моделирование', ' математический анализ', ' бизнес-моделирование']",руководитель отдела анализа данных/lead data analyst
мтс,full time,not specified,150000.0,150000.0,rub,not specified,1,3.0,"['etl', ' python', ' sql', ' spark', ' big data', ' postgresql', ' mysql', ' hive']",data engineer в направление core data lake big data
вкусно — и точка,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['python', ' machine learning', ' sql', ' big data', ' data science']",data scientist middle/senior
мтс,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['clickhouse', ' базы дать', ' postgresql', ' grafana', ' redash', ' анализ дать', ' sql']",data-аналитик стрим еспортс
tefal,internship full time,not specified,85000.0,240000.0,rub,москва,0,0.0,"['python', ' sql', ' analytical skills', ' powerbi', ' time management', ' business english', ' english', ' leadership skills', ' communication skills']",trainee data analyst
моризо диджитал,full time,not specified,175000.0,300000.0,rub,нижний новгород,3,6.0,"['python', ' sql', ' ms powerpoint', ' статистический анализ', ' ml', ' data science']",data scientist
"билайн: т, data, digital",full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['python', ' linux', ' sql', ' математическая статистика', ' hadoop', ' git', ' atlassian jira', ' spark', ' data sciense', ' анализ данных', ' analysis', ' статистика', ' big data', ' статистический анализ']",data scientist ltv
24н софт,full time, remote work,200000.0,200000.0,rub,москва,3,6.0,"['sql', ' etl', ' ms sql', ' apache airflow', ' python', ' panda', ' numpy', ' bash', ' github', ' git']",middle/senior data engineer
"лента, федеральная розничная сеть, it",full time, remote work,100000.0,240000.0,rub,not specified,1,3.0,"['uml', ' bpmn', ' sql', ' бизнес-анализ']",бизнес-аналитик big data
деловая среда,full time, remote work,100000.0,240000.0,rub,not specified,1,3.0,"['python', ' sql', ' linux']",data engineer аналитик больших дать
space307,full time,not specified,175000.0,300000.0,rub,санкт-петербург,3,6.0,"['sql', ' python', ' маркетинговые исследование']",senior data analyst marketing
bestdoctor,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['sql', ' python', ' tableau', ' power bi', ' a/b тест', ' анализ дать']",data analyst sales
мтс,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['python', ' sql', ' apache spark', ' hadoop', ' ml', ' a/b тесты']",middle data scientist в продукт мтс маркетолог big data
колеса,full time,not specified,700000.0,950000.0,kzt,алматы,1,3.0,"['microsoft power bi', ' python', ' sql', ' a/b тесты']",data-аналитик
квиллис,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['sql', ' bi']",аналитик данных / data analyst
deeray,full time,not specified,80000.0,300000.0,rub,not specified,3,6.0,"['python', ' jupyter notebook', ' business intelligence systems', ' data analysis', ' анализ данных', ' аналитическое мышление', ' big data', ' ml', ' ms excel', ' etl', ' a/b тесты', ' mathematical statistics', ' sql', ' power query', ' работа в команде', ' data science', ' математическая статистика', ' регрессионный анализ', ' статистический анализ', ' git', ' английский — b1 — средний']",аналитик данных / data analyst / data scientist
эр-1,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['python', ' sql', ' a/b тесты', ' ad hoc analysis']",lead/senior data analyst
movavi,full time, remote work,200000.0,200000.0,rub,not specified,3,6.0,"['sql', ' python', ' английский язык', ' postgresql', ' анализ дать', ' английский — b2 — средне-продвинуть']",senior data analyst
rubbles,full time,not specified,175000.0,400000.0,rub,not specified,3,6.0,"['python', ' spark', ' sql', ' machine learning', ' panda', ' машинное обучение', ' data science', ' big data']",data scientist middle/senior
альфа-банк,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['sql', ' scrum', ' анализ дать', ' ms powerpoint']",data analyst
моризо диджитал,full time,not specified,150000.0,150000.0,rub,нижний новгород,1,3.0,"['python', ' анализ дать', ' sql', ' ms powerpoint', ' статистический анализ']",data analyst
кларо дата солюшнс,full time,not specified,60000.0,240000.0,rub,not specified,0,0.0,"['ms excel', ' business english', ' analytical skills', ' financial analysis']",financial data analyst
сбер. it,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,['python'],data analyst/data engineer
pudov,full time,not specified,150000.0,150000.0,rub,таганрог,1,3.0,"['data scientist', ' аналитик', ' panda', ' numpy', ' scikit-learn', ' tensorflow', ' kera', ' scipy', ' plotly', ' seaborn', ' pytorch']",data scientist
rubbles,full time,not specified,175000.0,400000.0,rub,not specified,3,6.0,"['python', ' spark', ' hadoop', ' sql', ' big data', ' hive', ' kubernetes', ' linux']",data engineer
эр-1,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['python', ' sql', ' a/b тесты', ' ad hoc analysis']",lead/senior data analyst
hexlet,project work / one-time task, full day,175000.0,240000.0,rub,москва,3,6.0,"['data analysis', ' sql', ' математическая статистика', ' работа с базами данных', ' postgresql', ' numpy', ' nosql', ' mongodb']",автор курсов по data analytics
монополия,full time,not specified,150000.0,240000.0,rub,санкт-петербург,1,3.0,"['субд', ' sql', ' grafana', ' powerbi']",аналитик качества данных/data quality analyst
"отп банк, ао (otp bank)",full time,not specified,250000.0,400000.0,rub,москва,1,3.0,"['python', ' sql', ' git']",senior\middle data scientist big data
#izum,full time,not specified,60000.0,240000.0,rub,москва,0,0.0,"['экономический анализ', ' аналитика продажа', ' бюджетирование', ' ценообразование', ' аналитика', ' roistat', ' экономическое моделирование']",data analyst junior / аналитик данных
datanomica,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['sql', ' python', ' математическая статистика', ' machine learning', ' big data', ' pyspark', ' spark']",аналитик данных / data analyst
"группа компаний «group4media», управляющая компания",full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['sql', ' internet', ' аналитика', ' cистемы управления базами дать', ' бизнес-анализ', ' аналитическое мышление', ' аналитические исследование', ' работа со см', ' анализ дать']",media data analyst / аналитик медиа-данные
"vk, вконтакте",full time,not specified,150000.0,150000.0,rub,not specified,1,3.0,"['ms sql', ' python', ' анализ дать', ' clickhouse', ' hadoop']",аналитик данных в data office
okko,full time,not specified,175000.0,300000.0,rub,санкт-петербург,3,6.0,"['sql', ' python', ' data analysis', ' reporting']",data analyst middle/middle+ core-analytics
pari,full time,not specified,200000.0,300000.0,rub,not specified,3,6.0,"['python', ' powerbi', ' tableau', ' power bi', ' аналитическое мышление', ' data analysis']",senior data analyst
